actual_book_id,actual_title,actual_author,replace_with_book_id,replace_with_title,replace_with_author,reason
126120054,Homage to Catalonia [by] George Orwell,Eric Blair,9646,Homage to Catalonia,George Orwell,needs-review
40374482,"The Unbearable Lightness of Being by Milan Kundera (Book Analysis): Detailed Summary, Analysis and Reading Guide (BrightSummaries.com)",Bright Summaries,9717,The Unbearable Lightness of Being,Milan Kundera,wrong-edition
45183621,"Tinker Tailor Soldier Spy by John le Carré (Book Analysis): Detailed Summary, Analysis and Reading Guide (BrightSummaries.com)",Bright Summaries,10073506,Tinker Tailor Soldier Spy,John le Carre,wrong-edition
56174424,Scale by Geoffrey West | Summary | Free Audiobook,Lea Schullery,31670196,Scale,Geoffrey West,wrong-edition
10999012,Summary & Study Guide Island by Aldous Huxley,BookRags,5130,Island,Aldous Huxley,wrong-edition
12384481,The Hitchhiker's Guide to the Galaxy by Douglas Adams Summery & Study Guide,BookRags,11,The Hitchhiker's Guide to the Galaxy,Douglas Adams,wrong-edition
61145327,Summary Guide of Genius Makers by Cade Metz (BlinkRead),BlinkRead,55051662,Genius Makers,Cade Metz,wrong-edition
59425976,Summary of Jeff Hawkins's A Thousand Brains,Everest Media,54503521,A Thousand Brains,Jeff Hawkins,wrong-edition
55125705,Summary of The Black Swan by Nassim Nicholas Taleb: The Impact of the Highly Improbable,Best Book Briefings,242472,The Black Swan,Nassim Nicholas Taleb,wrong-edition
36628256,Summary: The 7 Habits of Highly Effective People by Stephen R. Covey,In A Nutshell Publishing,36072,The 7 Habits of Highly Effective People,Stephen R. Covey,wrong-edition
26022004,"A Joosr Guide to… The Chimp Paradox by Steve Peters: The Mind Management Program to Help You Achieve Success, Confidence, and Happiness",Joosr,12228097,The Chimp Paradox,Steve Peters,wrong-edition
51016920,Summary of Digital Minimalism Cal Newport - Choosing a Focused Life in a Noisy World,DMPublishers,40672036,Digital Minimalism,Cal Newport,wrong-edition
35366730,Summary: Deep Work by Cal Newport: Rules for Focused Success in a Distracted Wor,Goldmine Reads,25744928,Deep Work,Cal Newport,wrong-edition
210397303,My TLDR on How to Live on 24 Hours a Day By Arnold Bennett,Sao Short,4855,How to Live on 24 Hours a Day,Arnold Bennett,wrong-edition
20350338,Summary: The 80/20 Principle Richard Koch,Must Read Summaries,181206,The 80/20 Principle,Richard Koch,wrong-edition
39402685,Summary of Principles by Ray Dalio,Better Me,34536488,Principles,Ray Dalio,wrong-edition
89868864,"SUMMARY: Zero to One by Peter Thiel and Blake Masters (UNOFFICIAL SUMMARY: Lesson from Peter Thiel & Blake Masters): future proofing you, the ... by dr. judy mikovits, negotiating globally,",Powerful Insights,18050143,Zero to One,Peter Thiel; Blake Masters,wrong-edition
39858789,Analysis of Charles Wheelan’s Naked Economics by Milkyway Media,Milkyway Media,40180021,Naked Economics,Charles Wheelan,wrong-edition
130964305,Naked Statistics by Charles Wheelan (Jan 8 2013),Unknown Author,17986418,Naked Statistics,Charles Wheelan,wrong-edition
21177039,"Lesson Plan Surely You're Joking, Mr. Feynman! by Richard Feynman",BookRags,35167685,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,wrong-edition
48922119,"Summary of The Courage to Be Disliked By Ichiro Kishimi and Fumitake Koga | How to Free Yourself, Change Your Life, and Achieve Real Happiness",CTPrint,43306206,The Courage to Be Disliked,Ichiro Kishimi; Fumitake Koga,wrong-edition
50763484,Summary & Analysis of The Subtle Art of Not Giving a F*ck by Mark Manson,Buddy Reads,28257707,The Subtle Art of Not Giving a F*ck,Mark Manson,wrong-edition
25045518,Summary: Man's Search for Meaning by Viktor E. Frankl : Book Summary,FlashNotes Book Summaries,4069,Man's Search for Meaning,Viktor E. Frankl,wrong-edition
58652189,Workbook for The Anthropocene Reviewed by John Green: Essays on a Human-Centered Planet,Genius Reads,55145261,The Anthropocene Reviewed,John Green,wrong-edition
296805,Novel Ideas Classic: Fahrenheit 451 Ray Bradbury,Mark Angney,4381,Fahrenheit 451,Ray Bradbury,wrong-edition
