status,intended_title,intended_author,intended_shelf,intended_date_read,bad_actual_book_id,bad_actual_title,bad_actual_author,candidate_book_id,candidate_title,candidate_author,candidate_url,candidate_score,candidate_suspicious,alternatives
needs-review,Homage to Catalonia,George Orwell,read-2026,2026/07/01,126120054,Homage to Catalonia [by] George Orwell,Eric Blair,130087495,"Homage to Catalonia by Orwell, George on 03/01/2013 unknown edition",George Orwell,https://www.goodreads.com/book/show/130087495-homage-to-catalonia-by-orwell-george-on-03-01-2013-unknown-edition?from_search=true&from_srp=true&qid=9h4BpWM5kv&rank=5,0.950,no,"22708468:George Orwell Premium Collection: Nineteen Eighty-Four (1984) - Animal Farm - Burmese Days - Keep the Aspidistra Flying - Homage to Catalonia - The Road to Wigan Pier and Over 50 Amazing Novels, Non-Fiction Books and Essays / George Orwell || 7802296:Homage To Catalonia / Down And Out In Paris And London / George Orwell || 126120054:Homage to Catalonia [by] George Orwell / Eric Blair"
missing,The Conquest of Happiness,Bertrand Russell,read-2026,2026/01/06,6872,The Comfort of Strangers,Ian McEwan,51783,The Conquest of Happiness,Bertrand Russell,https://www.goodreads.com/book/show/51783.The_Conquest_of_Happiness?from_search=true&from_srp=true&qid=dYIIFYYKEV&rank=2,0.950,no,222109213:The Conquest of Happiness by Bertrand Russell Liveright / Bertrand Russell || 228638964:The Conquest of Happiness by Bertrand Russell / Bertrand Russell || 164254216:The Conquest of Happiness / Bertrand Russell
wrong-edition,The Unbearable Lightness of Being,Milan Kundera,read-2025,2025/11/15,40374482,"The Unbearable Lightness of Being by Milan Kundera (Book Analysis): Detailed Summary, Analysis and Reading Guide (BrightSummaries.com)",Bright Summaries,135566539,The Unbearable Lightness of Being by Milan Kundera (1985-04-29),Milan Kundera,https://www.goodreads.com/book/show/135566539-the-unbearable-lightness-of-being-by-milan-kundera?from_search=true&from_srp=true&qid=Fg3tKmSvj8&rank=2,0.950,no,"188910006:MILAN KUNDERA: The life and times of reclusive literary giant and author of 'The Unbearable Lightness of Being,' biography, net worth, achievements, ... UNRAVELING THE STORIES SHAPING OUR TIME) / Matthew K. Garcia || 40374482:The Unbearable Lightness of Being by Milan Kundera (Book Analysis): Detailed Summary, Analysis and Reading Guide (BrightSummaries.com) / Bright Summaries || 19520395:Summary & Study Guide The Unbearable Lightness of Being by Milan Kundera / BookRags"
wrong-edition,Tinker Tailor Soldier Spy,John le Carre,read-2025,2025/04/07,45183621,"Tinker Tailor Soldier Spy by John le Carré (Book Analysis): Detailed Summary, Analysis and Reading Guide (BrightSummaries.com)",Bright Summaries,10073506,"Tinker, Tailor, Soldier, Spy (George Smiley, #5; Karla Trilogy, #1)",John le Carré,https://www.goodreads.com/book/show/10073506-tinker-tailor-soldier-spy?from_search=true&from_srp=true&qid=MN5vZkXtPc&rank=2,0.950,no,"235656609:Tinker Tailor Soldier Spy by John Le Carre (1975-12-05) / Unknown Author John Le Carré || 367679:Three Complete Novels: Tinker, Tailor, Soldier, Spy / The Honourable Schoolboy / Smiley's People / John le Carré || 13045556:The Best of George Smiley: The Spy Who Came in from the Cold & Tinker Tailor Soldier Spy / John le Carré"
wrong-edition,Scale,Geoffrey West,read-2024,2024/12/29,56174424,Scale by Geoffrey West | Summary | Free Audiobook,Lea Schullery,31670196,"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey B. West,https://www.goodreads.com/book/show/31670196-scale?from_search=true&from_srp=true&qid=JlxkIESpGJ&rank=3,0.950,no,146533617:NEW-SCALE: THE UNIVERSAL LAWS OF LIFE AND DEATH IN ORGANISMS / Geoffrey West || 1022258:Scaling in Biology / Geoffrey B. West || 56174424:Scale by Geoffrey West | Summary | Free Audiobook / Lea Schullery
wrong-edition,Island,Aldous Huxley,read-2024,2024/08/01,10999012,Summary & Study Guide Island by Aldous Huxley,BookRags,71570152,Island by Aldous Huxley: Hardcover Book,Aldous Huxley,https://www.goodreads.com/book/show/71570152-island-by-aldous-huxley?from_search=true&from_srp=true&qid=ilaGG1KbW8&rank=2,0.950,no,"5130:Island / Aldous Huxley || 136196611:By Aldous Huxley - Island / Aldous Huxley || 62056319:The Complete Works of Aldous Huxley. Illustrated: Brave New World, Island, Point Counter Point, The Doors of Perception, The Perennial Philosophy, The Devils of Loudun and others / Aldous Huxley"
wrong-edition,The Hitchhiker's Guide to the Galaxy,Douglas Adams,read-2024,2024/03/07,12384481,The Hitchhiker's Guide to the Galaxy by Douglas Adams Summery & Study Guide,BookRags,11812230,The Hitchhiker's Guide to the Galaxy: Douglas Adams Live in Concert,Douglas Adams,https://www.goodreads.com/book/show/11812230-the-hitchhiker-s-guide-to-the-galaxy?from_search=true&from_srp=true&qid=SKK2WAUNER&rank=2,0.950,no,"245198526:[(The Ultimate Hitchhiker's Guide to the Galaxy)] [Author: Douglas Adams] published on (August, 2009) / Douglas Adams || 8694:Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3) / Douglas Adams || 133781708:The Hitchhiker's Guide to the Galaxy by Douglas Adams (2009-09-01) / Douglas Adams"
wrong-edition,Genius Makers,Cade Metz,read-2023,2023/08/07,61145327,Summary Guide of Genius Makers by Cade Metz (BlinkRead),BlinkRead,55051662,"Genius Makers: The Mavericks Who Brought AI to Google, Facebook, and the World",Cade Metz,https://www.goodreads.com/book/show/55051662-genius-makers?from_search=true&from_srp=true&qid=E0birzFTJc&rank=3,0.950,no,"210474733:Genius Makers / Cade Metz || 61145327:Summary Guide of Genius Makers by Cade Metz / BlinkRead || 121401648:SUMMARY of Genius Makers: By Cade Metz: The Mavericks Who Brought AI To Google, Facebook, and The World / Kendrick P Jones"
wrong-edition,A Thousand Brains,Jeff Hawkins,read-2023,2023/08/07,59425976,Summary of Jeff Hawkins's A Thousand Brains,Everest Media,54503521,A Thousand Brains: A New Theory of Intelligence,Jeff Hawkins,https://www.goodreads.com/book/show/54503521-a-thousand-brains?from_search=true&from_srp=true&qid=ODIbAQMPIb&rank=1,0.950,no,200788549:A Thousand Brains - Eine Neue Theorie der Intelligenz / Jeff Hawkins || 197256640:[Jeff Hawkins]-[A Thousand Brains: A New Theory of Intelligence]-[Hardcover ] / Unknown Author || 241166785:A Thousand Brains: A New Theory of Intelligence / Hawkins Jeff
missing,The Elephant in the Brain,Kevin Simler; Robin Hanson,read-2022,2022/12/28,13330771,Hallucinations,Oliver Sacks,28820444,The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,https://www.goodreads.com/book/show/28820444-the-elephant-in-the-brain?from_search=true&from_srp=true&qid=PruPQvMDaO&rank=1,0.950,no,75510740:Summary of Kevin Simler's The Elephant in the Brain: Hidden Motives in Everyday Life / Edward Bell || 99353870:Summary and Analysis: The Elephant in the Brain: Hidden Motives in Everyday Life | A Summary And Analysis of Kevin Simler’s Book | Includes Key Insights and Important Quotes / Ingenious Summaries
